,Human A13,Human A14,Human A19,Human A1C,Human A23,Human A25,Human A29-A30,Human A32,Human A35-A36,Human A35r,Human A38,Human A40,Human A43,Human A44-A45,Human A46,Human A5-A7,Human ACC,Human ANC,Human AON,Human BL,Human BM,Human BNST,Human CA1,Human CA1-2R,Human CA1C-CA3C,Human CA1R-CA2R-CA3R,Human CA1U-CA2U-CA3U,Human CA2U-CA3U,Human CA3R,Human CA4C-DGC,Human CBL,Human CBV,Human CEN,Human CM,Human CM-Pf,Human CMN,Human CaB,Human CbDN,Human Cla,Human CoA,Human DGR-CA4,Human DGR-CA4Rpy,Human DGU-CA4Upy,Human DTg,Human ETH,Human FI,Human GPe,Human GPi,Human HTHma,Human HTHma-HTHtub,Human HTHpo,Human HTHpo-HTHso,Human HTHso,Human HTHso-HTHtub,Human HTHtub,Human IC,Human IO,Human ITG,Human Idg,Human Ig,Human LEC,Human LG,Human LP,Human LP-VPL,Human La,Human M1C,Human MD,Human MD-Re,Human MEC,Human MG,Human MN,Human MTG,Human MoAN,Human MoRF-MoEN,Human MoSR,Human NAC,Human PAG,Human PAG-DR,Human PB,Human PN,Human PTR,Human Pir,Human PnAN,Human PnEN,Human PnRF,Human Pro,Human Pu,Human Pul,Human RN,Human S1C,Human SC,Human SEP,Human SI,Human SN,Human SN-RN,Human STG,Human STH,Human SpC,Human Sub,Human TF,Human TH-TL,Human V1C,Human V2,Human VA,Human VLN,Human VPL
Cluster0,0,0,0,1,0,1,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,2,0,3,0,2,1,2,3,0,0,3,1,0,0,3,0,1,1,1,5,12,0,0,0,0,0,0,1,2,2,3,1,1,1,1,2,0,0,0,0,1,0,0,1,1,0,1,0,0,2,1,3,1,0,0,0,5,5,0,1,0,0,0,0,1,0,12,5,0,1,0,1,1,1,0,0,0,0,0
Cluster1,2,1,8,4,2,1,1,1,4,14,9,4,5,4,4,1,7,34,2,3,9,12,53,0,5,14,5,4,5,23,7,31,23,15,10,2,0,187,47,8,0,18,12,12,14,0,77,152,2,2,7,5,2,7,22,25,58,10,3,8,12,19,18,12,0,5,7,14,6,5,108,51,51,35,16,3,40,18,60,54,8,7,22,73,106,5,10,34,7,4,10,50,7,184,79,19,24,202,11,7,11,9,3,17,16,8
Cluster2,2,0,4,1,1,0,0,0,0,21,2,5,1,3,2,3,2,8,0,3,3,1,13,0,0,1,4,2,0,7,2,25,10,13,7,3,0,34,14,3,2,7,4,4,2,2,38,37,0,1,2,0,5,0,6,10,8,1,1,0,1,10,15,5,4,3,7,5,2,1,19,15,9,6,3,2,18,2,8,10,1,2,4,13,25,2,1,17,1,3,0,4,3,32,22,8,7,8,5,1,10,3,3,6,12,3
Cluster3,2,1,1,2,1,2,1,1,0,4,0,1,4,3,0,1,1,6,0,2,2,5,9,0,1,4,3,0,0,3,2,3,5,8,17,2,2,14,14,3,0,5,3,2,1,1,13,14,1,2,0,1,2,0,2,1,5,1,0,3,1,8,10,3,0,2,6,5,0,0,16,7,33,8,3,1,1,2,2,7,1,2,6,45,19,0,6,8,2,2,0,17,3,15,15,2,14,9,6,1,2,1,1,5,15,4
Cluster4,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,2,3,0,6,1,1,1,0,0,3,1,1,0,3,0,0,2,5,3,0,0,12,8,2,0,1,0,0,0,10,49,0,0,0,1,2,1,0,0,0,0,0,0,2,86,1,31,2,16,0,19,1,2,65,0,2,6,85,31,0,1,2,2,0,5,5,0,12,3,0,0,237,1,0,2,0,0,2,0,0
Cluster5,1,0,0,0,1,0,0,0,0,1,2,0,0,0,0,0,0,2,0,1,1,2,0,0,0,109,3,0,0,0,0,0,0,0,1,1,0,2,1,3,1,196,3,2,3,0,4,3,0,0,0,0,1,3,5,1,0,0,0,0,1,3,1,0,1,0,0,2,2,0,1,1,207,11,12,1,2,1,0,0,0,1,1,4,2,0,0,10,0,0,3,146,1,3,0,0,2,2,2,0,1,0,0,0,0,0
Cluster6,2,0,0,2,0,10,1,7,3,40,6,2,8,1,3,7,14,15,0,9,22,13,174,2,67,35,29,7,29,161,9,20,59,17,26,10,7,85,58,17,3,36,49,7,8,7,70,172,2,7,1,5,3,4,11,10,37,2,13,5,5,11,19,36,4,4,15,17,8,8,29,23,23,21,7,2,22,8,22,58,2,12,15,48,94,1,9,24,5,4,4,44,16,141,70,5,31,62,31,2,40,5,3,14,26,6
Cluster7,18,6,30,47,4,56,7,12,5,94,29,40,47,25,21,63,28,97,43,42,39,54,110,13,104,255,180,22,54,490,42,228,104,59,245,34,30,2159,241,1,5,435,367,136,56,28,3179,7228,50,114,17,49,0,24,17,157,481,41,25,37,31,156,324,156,29,52,94,26,57,72,1245,301,309,448,20,35,665,75,397,710,89,32,494,436,2194,60,75,241,103,104,85,286,62,3573,2007,202,529,675,78,26,67,44,17,36,295,193
Cluster8,6,1,6,20,5,16,5,10,19,67,4,7,14,5,9,6,13,92,21,27,59,74,283,12,35,34,17,14,92,355,71,359,333,38,53,44,22,156,63,26,18,190,343,12,26,20,239,231,3,21,38,21,7,28,128,94,108,16,22,14,10,48,11,85,7,7,35,106,15,8,203,83,156,144,6,27,226,62,47,137,8,40,37,51,155,7,12,150,5,8,32,170,93,638,360,42,34,156,95,2,49,15,9,48,33,6
Cluster9,17,10,29,23,19,20,8,84,20,74,43,18,51,12,27,14,65,12,29,24,34,7,231,14,27,32,13,10,22,175,29,69,33,9,12,26,18,55,54,4,0,68,65,21,5,12,187,284,1,10,5,10,0,3,4,16,46,49,27,29,25,54,26,30,8,19,11,28,62,12,10,220,54,119,2,14,101,9,46,60,15,25,45,34,154,29,21,115,3,16,17,46,21,281,417,110,22,82,118,23,135,29,31,10,128,13
