,Dissections
Cluster0,"Human SN: 11.43%,  Human GPi: 11.43%,  Human PnEN: 4.76%,  Human PnRF: 4.76%,  Human GPe: 4.76%,  Human SN-RN: 4.76%,  Human CbDN: 2.86%,  Human CM-Pf: 2.86%,  Human ITG: 2.86%,  Human CA4C-DGC: 2.86%,  Human DGR-CA4Rpy: 2.86%,  Human PB: 2.86%,  Human CM: 1.90%,  Human IC: 1.90%,  Human LP: 1.90%,  Human PAG: 1.90%,  Human IO: 1.90%,  Human A35r: 1.90%,  Human CA2U-CA3U: 1.90%,  Human CBV: 1.90%,  Human ANC: 1.90%,  Human MTG: 0.95%,  Human HTHtub: 0.95%,  Human FI: 0.95%,  Human ETH: 0.95%,  Human Idg: 0.95%,  Human Ig: 0.95%,  Human LEC: 0.95%,  Human LG: 0.95%,  Human DTg: 0.95%,  Human CEN: 0.95%,  Human CA1: 0.95%,  Human MD-Re: 0.95%,  Human Cla: 0.95%,  Human MN: 0.95%,  Human MoRF-MoEN: 0.95%,  Human PAG-DR: 0.95%,  Human SEP: 0.95%,  Human Pu: 0.95%,  Human A25: 0.95%,  Human STH: 0.95%,  Human Sub: 0.95%,  Human PN: 0.95%,  Human TF: 0.95%,  Human TH-TL: 0.95%,  Human A1C: 0.95%"
Cluster1,"Human SpC: 8.16%,  Human CbDN: 7.56%,  Human SN: 7.44%,  Human GPi: 6.14%,  Human MN: 4.37%,  Human PnRF: 4.28%,  Human SN-RN: 3.19%,  Human GPe: 3.11%,  Human PnEN: 2.95%,  Human PB: 2.43%,  Human IO: 2.34%,  Human PN: 2.18%,  Human CA1: 2.14%,  Human MoAN: 2.06%,  Human MTG: 2.06%,  Human SEP: 2.02%,  Human Cla: 1.90%,  Human PAG: 1.62%,  Human MoRF-MoEN: 1.41%,  Human Pul: 1.37%,  Human ANC: 1.37%,  Human CBV: 1.25%,  Human IC: 1.01%,  Human STH: 0.97%,  Human CA4C-DGC: 0.93%,  Human CEN: 0.93%,  Human PnAN: 0.89%,  Human HTHtub: 0.89%,  Human STG: 0.77%,  Human LG: 0.77%,  Human LP: 0.73%,  Human DGR-CA4Rpy: 0.73%,  Human PAG-DR: 0.73%,  Human VA: 0.69%,  Human MoSR: 0.65%,  Human VLN: 0.65%,  Human CM: 0.61%,  Human ETH: 0.57%,  Human MD-Re: 0.57%,  Human CA1R-CA2R-CA3R: 0.57%,  Human A35r: 0.57%,  Human DTg: 0.49%,  Human DGU-CA4Upy: 0.49%,  Human LEC: 0.49%,  Human BNST: 0.49%,  Human LP-VPL: 0.49%,  Human TH-TL: 0.44%,  Human Sub: 0.44%,  Human ITG: 0.40%,  Human SC: 0.40%,  Human CM-Pf: 0.40%,  Human Pu: 0.40%,  Human BM: 0.36%,  Human V1C: 0.36%,  Human A38: 0.36%,  Human CoA: 0.32%,  Human VPL: 0.32%,  Human PTR: 0.32%,  Human A19: 0.32%,  Human Ig: 0.32%,  Human TF: 0.28%,  Human SI: 0.28%,  Human RN: 0.28%,  Human CBL: 0.28%,  Human Pir: 0.28%,  Human MD: 0.28%,  Human ACC: 0.28%,  Human HTHpo: 0.28%,  Human HTHso-HTHtub: 0.28%,  Human MEC: 0.24%,  Human M1C: 0.20%,  Human CA1C-CA3C: 0.20%,  Human MG: 0.20%,  Human Pro: 0.20%,  Human CA3R: 0.20%,  Human A43: 0.20%,  Human CA1U-CA2U-CA3U: 0.20%,  Human HTHpo-HTHso: 0.20%,  Human A44-A45: 0.16%,  Human A35-A36: 0.16%,  Human S1C: 0.16%,  Human CA2U-CA3U: 0.16%,  Human A46: 0.16%,  Human A1C: 0.16%,  Human A40: 0.16%,  Human Idg: 0.12%,  Human NAC: 0.12%,  Human BL: 0.12%,  Human V2: 0.12%,  Human A23: 0.08%,  Human HTHso: 0.08%,  Human AON: 0.08%,  Human CMN: 0.08%,  Human HTHma: 0.08%,  Human HTHma-HTHtub: 0.08%,  Human A13: 0.08%,  Human A5-A7: 0.04%,  Human A32: 0.04%,  Human A29-A30: 0.04%,  Human A25: 0.04%,  Human A14: 0.04%"
Cluster2,"Human GPe: 5.66%,  Human GPi: 5.51%,  Human CbDN: 5.07%,  Human SN: 4.77%,  Human CBV: 3.73%,  Human PnRF: 3.73%,  Human SN-RN: 3.28%,  Human A35r: 3.13%,  Human MN: 2.83%,  Human PAG: 2.68%,  Human Pul: 2.53%,  Human LP: 2.24%,  Human MTG: 2.24%,  Human Cla: 2.09%,  Human CM: 1.94%,  Human CA1: 1.94%,  Human PnEN: 1.94%,  Human VLN: 1.79%,  Human LG: 1.49%,  Human PN: 1.49%,  Human IC: 1.49%,  Human CEN: 1.49%,  Human TH-TL: 1.49%,  Human MoAN: 1.34%,  Human IO: 1.19%,  Human PB: 1.19%,  Human STG: 1.19%,  Human SpC: 1.19%,  Human ANC: 1.19%,  Human CM-Pf: 1.04%,  Human DGR-CA4Rpy: 1.04%,  Human STH: 1.04%,  Human MD: 1.04%,  Human CA4C-DGC: 1.04%,  Human VA: 0.89%,  Human MoRF-MoEN: 0.89%,  Human HTHtub: 0.89%,  Human HTHso: 0.75%,  Human MD-Re: 0.75%,  Human LP-VPL: 0.75%,  Human A40: 0.75%,  Human Sub: 0.75%,  Human PnAN: 0.60%,  Human DTg: 0.60%,  Human A19: 0.60%,  Human DGU-CA4Upy: 0.60%,  Human SEP: 0.60%,  Human La: 0.60%,  Human CA1U-CA2U-CA3U: 0.60%,  Human CoA: 0.45%,  Human A44-A45: 0.45%,  Human BL: 0.45%,  Human CMN: 0.45%,  Human A5-A7: 0.45%,  Human BM: 0.45%,  Human VPL: 0.45%,  Human SI: 0.45%,  Human S1C: 0.45%,  Human V2: 0.45%,  Human V1C: 0.45%,  Human M1C: 0.45%,  Human MoSR: 0.45%,  Human A13: 0.30%,  Human Pir: 0.30%,  Human CA2U-CA3U: 0.30%,  Human ACC: 0.30%,  Human A46: 0.30%,  Human CBL: 0.30%,  Human PAG-DR: 0.30%,  Human NAC: 0.30%,  Human MEC: 0.30%,  Human A38: 0.30%,  Human DGR-CA4: 0.30%,  Human ETH: 0.30%,  Human FI: 0.30%,  Human HTHpo: 0.30%,  Human Pro: 0.30%,  Human BNST: 0.15%,  Human A43: 0.15%,  Human TF: 0.15%,  Human A23: 0.15%,  Human A1C: 0.15%,  Human RN: 0.15%,  Human Pu: 0.15%,  Human HTHma-HTHtub: 0.15%,  Human CA1R-CA2R-CA3R: 0.15%,  Human PTR: 0.15%,  Human MG: 0.15%,  Human ITG: 0.15%,  Human LEC: 0.15%,  Human Idg: 0.15%"
Cluster3,"Human PnEN: 8.95%,  Human MoAN: 6.56%,  Human PnRF: 3.78%,  Human SEP: 3.38%,  Human CM-Pf: 3.38%,  Human MN: 3.18%,  Human VLN: 2.98%,  Human SN-RN: 2.98%,  Human SN: 2.98%,  Human Cla: 2.78%,  Human GPi: 2.78%,  Human STH: 2.78%,  Human CbDN: 2.78%,  Human GPe: 2.58%,  Human LP: 1.99%,  Human CA1: 1.79%,  Human SpC: 1.79%,  Human CM: 1.59%,  Human Pul: 1.59%,  Human LG: 1.59%,  Human MoRF-MoEN: 1.59%,  Human MTG: 1.39%,  Human PN: 1.39%,  Human MD: 1.19%,  Human Pu: 1.19%,  Human PnAN: 1.19%,  Human ANC: 1.19%,  Human Sub: 1.19%,  Human VA: 0.99%,  Human MD-Re: 0.99%,  Human BNST: 0.99%,  Human CEN: 0.99%,  Human DGR-CA4Rpy: 0.99%,  Human IO: 0.99%,  Human VPL: 0.80%,  Human CA1R-CA2R-CA3R: 0.80%,  Human A35r: 0.80%,  Human A43: 0.80%,  Human MoSR: 0.60%,  Human CBV: 0.60%,  Human DGU-CA4Upy: 0.60%,  Human CoA: 0.60%,  Human A44-A45: 0.60%,  Human Ig: 0.60%,  Human CA4C-DGC: 0.60%,  Human SI: 0.60%,  Human LP-VPL: 0.60%,  Human CA1U-CA2U-CA3U: 0.60%,  Human BL: 0.40%,  Human CMN: 0.40%,  Human BM: 0.40%,  Human A25: 0.40%,  Human CBL: 0.40%,  Human A1C: 0.40%,  Human DTg: 0.40%,  Human CaB: 0.40%,  Human HTHso: 0.40%,  Human A13: 0.40%,  Human TH-TL: 0.40%,  Human HTHma-HTHtub: 0.40%,  Human Pir: 0.40%,  Human PAG-DR: 0.40%,  Human RN: 0.40%,  Human S1C: 0.40%,  Human M1C: 0.40%,  Human STG: 0.40%,  Human PB: 0.40%,  Human HTHtub: 0.40%,  Human A32: 0.20%,  Human PTR: 0.20%,  Human TF: 0.20%,  Human A29-A30: 0.20%,  Human A5-A7: 0.20%,  Human ACC: 0.20%,  Human V1C: 0.20%,  Human A23: 0.20%,  Human V2: 0.20%,  Human A19: 0.20%,  Human A14: 0.20%,  Human A40: 0.20%,  Human HTHma: 0.20%,  Human LEC: 0.20%,  Human ITG: 0.20%,  Human FI: 0.20%,  Human ETH: 0.20%,  Human HTHpo-HTHso: 0.20%,  Human IC: 0.20%,  Human CA1C-CA3C: 0.20%,  Human PAG: 0.20%,  Human NAC: 0.20%"
Cluster4,"Human SpC: 31.81%,  Human MN: 11.54%,  Human PnEN: 11.41%,  Human PN: 8.72%,  Human IO: 6.58%,  Human PnRF: 4.16%,  Human MoAN: 4.16%,  Human PAG: 2.55%,  Human MoSR: 2.15%,  Human SN: 1.61%,  Human GPi: 1.61%,  Human IC: 1.34%,  Human HTHma: 1.07%,  Human CA4C-DGC: 0.81%,  Human PnAN: 0.81%,  Human SEP: 0.67%,  Human SC: 0.67%,  Human DTg: 0.67%,  Human A38: 0.40%,  Human CA2U-CA3U: 0.40%,  Human ETH: 0.40%,  Human CMN: 0.40%,  Human CoA: 0.40%,  Human SN-RN: 0.40%,  Human Pul: 0.27%,  Human VA: 0.27%,  Human DGU-CA4Upy: 0.27%,  Human MG: 0.27%,  Human LG: 0.27%,  Human TH-TL: 0.27%,  Human MoRF-MoEN: 0.27%,  Human PB: 0.27%,  Human HTHma-HTHtub: 0.27%,  Human CA1U-CA2U-CA3U: 0.27%,  Human Pir: 0.27%,  Human RN: 0.27%,  Human LEC: 0.13%,  Human ANC: 0.13%,  Human BNST: 0.13%,  Human LP: 0.13%,  Human CA1R-CA2R-CA3R: 0.13%,  Human CEN: 0.13%,  Human CBV: 0.13%,  Human MTG: 0.13%,  Human PAG-DR: 0.13%,  Human HTHpo-HTHso: 0.13%,  Human Pu: 0.13%,  Human CbDN: 0.13%,  Human CaB: 0.13%,  Human Sub: 0.13%,  Human CBL: 0.13%"
Cluster5,"Human MoAN: 26.64%,  Human DGR-CA4Rpy: 25.23%,  Human SEP: 18.79%,  Human CA1R-CA2R-CA3R: 14.03%,  Human MoSR: 1.54%,  Human MoRF-MoEN: 1.42%,  Human Pul: 1.29%,  Human HTHtub: 0.64%,  Human PnEN: 0.51%,  Human GPe: 0.51%,  Human DGU-CA4Upy: 0.39%,  Human CA1U-CA2U-CA3U: 0.39%,  Human SC: 0.39%,  Human LG: 0.39%,  Human SN: 0.39%,  Human CoA: 0.39%,  Human GPi: 0.39%,  Human HTHso-HTHtub: 0.39%,  Human ETH: 0.39%,  Human PAG: 0.26%,  Human DTg: 0.26%,  Human MEC: 0.26%,  Human MD-Re: 0.26%,  Human PnRF: 0.26%,  Human SpC: 0.26%,  Human ANC: 0.26%,  Human CbDN: 0.26%,  Human BNST: 0.26%,  Human STH: 0.26%,  Human A38: 0.26%,  Human Sub: 0.26%,  Human LEC: 0.13%,  Human IC: 0.13%,  Human A23: 0.13%,  Human A35r: 0.13%,  Human Cla: 0.13%,  Human BL: 0.13%,  Human DGR-CA4: 0.13%,  Human BM: 0.13%,  Human CM-Pf: 0.13%,  Human CMN: 0.13%,  Human LP: 0.13%,  Human HTHso: 0.13%,  Human A13: 0.13%,  Human NAC: 0.13%,  Human MN: 0.13%,  Human La: 0.13%,  Human TH-TL: 0.13%,  Human PnAN: 0.13%,  Human Pir: 0.13%,  Human PAG-DR: 0.13%,  Human MTG: 0.13%,  Human SI: 0.13%"
Cluster6,"Human CA1: 7.00%,  Human GPi: 6.92%,  Human CA4C-DGC: 6.48%,  Human SN: 5.67%,  Human PnRF: 3.78%,  Human CbDN: 3.42%,  Human GPe: 2.82%,  Human SN-RN: 2.82%,  Human CA1C-CA3C: 2.70%,  Human SpC: 2.49%,  Human CEN: 2.37%,  Human PN: 2.33%,  Human Cla: 2.33%,  Human DGU-CA4Upy: 1.97%,  Human PnEN: 1.93%,  Human SEP: 1.77%,  Human TH-TL: 1.61%,  Human A35r: 1.61%,  Human IO: 1.49%,  Human LP-VPL: 1.45%,  Human DGR-CA4Rpy: 1.45%,  Human CA1R-CA2R-CA3R: 1.41%,  Human STH: 1.25%,  Human Sub: 1.25%,  Human MN: 1.17%,  Human CA3R: 1.17%,  Human CA1U-CA2U-CA3U: 1.17%,  Human CM-Pf: 1.05%,  Human VLN: 1.05%,  Human Pul: 0.97%,  Human MoAN: 0.93%,  Human MTG: 0.93%,  Human PAG: 0.89%,  Human PB: 0.89%,  Human BM: 0.89%,  Human MoRF-MoEN: 0.85%,  Human CBV: 0.80%,  Human LP: 0.76%,  Human MD-Re: 0.68%,  Human CM: 0.68%,  Human CoA: 0.68%,  Human SI: 0.64%,  Human ANC: 0.60%,  Human PnAN: 0.60%,  Human MD: 0.60%,  Human ACC: 0.56%,  Human VA: 0.56%,  Human BNST: 0.52%,  Human Idg: 0.52%,  Human Pir: 0.48%,  Human HTHtub: 0.44%,  Human LG: 0.44%,  Human A25: 0.40%,  Human IC: 0.40%,  Human CMN: 0.40%,  Human Pu: 0.36%,  Human BL: 0.36%,  Human CBL: 0.36%,  Human ETH: 0.32%,  Human MEC: 0.32%,  Human PAG-DR: 0.32%,  Human MG: 0.32%,  Human A43: 0.32%,  Human CaB: 0.28%,  Human CA2U-CA3U: 0.28%,  Human A32: 0.28%,  Human DTg: 0.28%,  Human A5-A7: 0.28%,  Human HTHma-HTHtub: 0.28%,  Human MoSR: 0.28%,  Human FI: 0.28%,  Human VPL: 0.24%,  Human A38: 0.24%,  Human STG: 0.20%,  Human LEC: 0.20%,  Human Ig: 0.20%,  Human V1C: 0.20%,  Human HTHpo-HTHso: 0.20%,  Human RN: 0.20%,  Human HTHso-HTHtub: 0.16%,  Human SC: 0.16%,  Human S1C: 0.16%,  Human La: 0.16%,  Human M1C: 0.16%,  Human A46: 0.12%,  Human A35-A36: 0.12%,  Human HTHso: 0.12%,  Human DGR-CA4: 0.12%,  Human V2: 0.12%,  Human PTR: 0.08%,  Human NAC: 0.08%,  Human A1C: 0.08%,  Human TF: 0.08%,  Human CA1-2R: 0.08%,  Human A13: 0.08%,  Human A40: 0.08%,  Human ITG: 0.08%,  Human HTHma: 0.08%,  Human Pro: 0.04%,  Human A44-A45: 0.04%,  Human A29-A30: 0.04%,  Human HTHpo: 0.04%"
Cluster7,"Human GPi: 20.75%,  Human SN: 10.26%,  Human GPe: 9.13%,  Human PnRF: 6.30%,  Human CbDN: 6.20%,  Human SN-RN: 5.76%,  Human MN: 3.57%,  Human PN: 2.04%,  Human SpC: 1.94%,  Human PAG: 1.91%,  Human STH: 1.52%,  Human PnAN: 1.42%,  Human CA4C-DGC: 1.41%,  Human IO: 1.38%,  Human MoRF-MoEN: 1.29%,  Human PnEN: 1.25%,  Human DGR-CA4Rpy: 1.25%,  Human PB: 1.14%,  Human DGU-CA4Upy: 1.05%,  Human LP: 0.93%,  Human MoAN: 0.89%,  Human MTG: 0.86%,  Human VLN: 0.85%,  Human SEP: 0.82%,  Human CA1R-CA2R-CA3R: 0.73%,  Human CM-Pf: 0.70%,  Human Pul: 0.69%,  Human Cla: 0.69%,  Human CBV: 0.65%,  Human STG: 0.58%,  Human VPL: 0.55%,  Human CA1U-CA2U-CA3U: 0.52%,  Human IC: 0.45%,  Human LG: 0.45%,  Human LP-VPL: 0.45%,  Human DTg: 0.39%,  Human HTHma-HTHtub: 0.33%,  Human CA1: 0.32%,  Human CA1C-CA3C: 0.30%,  Human S1C: 0.30%,  Human CEN: 0.30%,  Human RN: 0.30%,  Human ANC: 0.28%,  Human MD: 0.27%,  Human A35r: 0.27%,  Human PTR: 0.26%,  Human SC: 0.24%,  Human Sub: 0.22%,  Human PAG-DR: 0.22%,  Human Pu: 0.22%,  Human MG: 0.21%,  Human TH-TL: 0.19%,  Human A5-A7: 0.18%,  Human SI: 0.18%,  Human Pro: 0.17%,  Human CM: 0.17%,  Human MEC: 0.16%,  Human A25: 0.16%,  Human ETH: 0.16%,  Human CA3R: 0.16%,  Human BNST: 0.16%,  Human M1C: 0.15%,  Human HTHma: 0.14%,  Human HTHpo-HTHso: 0.14%,  Human A43: 0.13%,  Human A1C: 0.13%,  Human V1C: 0.13%,  Human AON: 0.12%,  Human BL: 0.12%,  Human CBL: 0.12%,  Human ITG: 0.12%,  Human A40: 0.11%,  Human BM: 0.11%,  Human Ig: 0.11%,  Human VA: 0.10%,  Human NAC: 0.10%,  Human CMN: 0.10%,  Human Pir: 0.09%,  Human LEC: 0.09%,  Human A19: 0.09%,  Human CaB: 0.09%,  Human A38: 0.08%,  Human La: 0.08%,  Human FI: 0.08%,  Human ACC: 0.08%,  Human TF: 0.07%,  Human MD-Re: 0.07%,  Human Idg: 0.07%,  Human A44-A45: 0.07%,  Human HTHso-HTHtub: 0.07%,  Human CA2U-CA3U: 0.06%,  Human A46: 0.06%,  Human MoSR: 0.06%,  Human A13: 0.05%,  Human HTHpo: 0.05%,  Human HTHtub: 0.05%,  Human V2: 0.05%,  Human CA1-2R: 0.04%,  Human A32: 0.03%,  Human A29-A30: 0.02%,  Human A14: 0.02%,  Human DGR-CA4: 0.01%,  Human A35-A36: 0.01%,  Human A23: 0.01%,  Human CoA: 0.00%"
Cluster8,"Human SN: 8.23%,  Human SN-RN: 4.65%,  Human CBV: 4.63%,  Human CA4C-DGC: 4.58%,  Human DGU-CA4Upy: 4.43%,  Human CEN: 4.30%,  Human CA1: 3.65%,  Human GPe: 3.08%,  Human GPi: 2.98%,  Human PAG: 2.92%,  Human MN: 2.62%,  Human DGR-CA4Rpy: 2.45%,  Human SEP: 2.19%,  Human SpC: 2.01%,  Human MoAN: 2.01%,  Human CbDN: 2.01%,  Human PnRF: 2.00%,  Human Pul: 1.94%,  Human MoRF-MoEN: 1.86%,  Human PN: 1.77%,  Human HTHtub: 1.65%,  Human IO: 1.39%,  Human MD-Re: 1.37%,  Human Sub: 1.23%,  Human IC: 1.21%,  Human SI: 1.20%,  Human ANC: 1.19%,  Human CA3R: 1.19%,  Human LP-VPL: 1.10%,  Human MTG: 1.07%,  Human BNST: 0.95%,  Human CBL: 0.92%,  Human A35r: 0.86%,  Human Cla: 0.81%,  Human PAG-DR: 0.80%,  Human BM: 0.76%,  Human CM-Pf: 0.68%,  Human PnEN: 0.66%,  Human TH-TL: 0.63%,  Human VA: 0.62%,  Human LG: 0.62%,  Human PB: 0.61%,  Human CMN: 0.57%,  Human STG: 0.54%,  Human Pir: 0.52%,  Human HTHpo: 0.49%,  Human CM: 0.49%,  Human PnAN: 0.48%,  Human CA1C-CA3C: 0.45%,  Human MD: 0.45%,  Human CA1R-CA2R-CA3R: 0.44%,  Human STH: 0.44%,  Human VLN: 0.43%,  Human SC: 0.41%,  Human HTHso-HTHtub: 0.36%,  Human NAC: 0.35%,  Human BL: 0.35%,  Human CoA: 0.34%,  Human ETH: 0.34%,  Human CaB: 0.28%,  Human Idg: 0.28%,  Human HTHma-HTHtub: 0.27%,  Human HTHpo-HTHso: 0.27%,  Human AON: 0.27%,  Human FI: 0.26%,  Human A1C: 0.26%,  Human A35-A36: 0.25%,  Human DGR-CA4: 0.23%,  Human CA1U-CA2U-CA3U: 0.22%,  Human ITG: 0.21%,  Human A25: 0.21%,  Human V1C: 0.19%,  Human MEC: 0.19%,  Human CA2U-CA3U: 0.18%,  Human A43: 0.18%,  Human Ig: 0.18%,  Human ACC: 0.17%,  Human DTg: 0.15%,  Human Pu: 0.15%,  Human CA1-2R: 0.15%,  Human LP: 0.14%,  Human LEC: 0.13%,  Human A32: 0.13%,  Human V2: 0.12%,  Human A46: 0.12%,  Human S1C: 0.10%,  Human MG: 0.10%,  Human PTR: 0.10%,  Human Pro: 0.09%,  Human M1C: 0.09%,  Human La: 0.09%,  Human A40: 0.09%,  Human HTHso: 0.09%,  Human A19: 0.08%,  Human VPL: 0.08%,  Human A5-A7: 0.08%,  Human MoSR: 0.08%,  Human A13: 0.08%,  Human A44-A45: 0.06%,  Human A29-A30: 0.06%,  Human A23: 0.06%,  Human RN: 0.06%,  Human A38: 0.05%,  Human HTHma: 0.04%,  Human TF: 0.03%,  Human A14: 0.01%"
Cluster9,"Human SN-RN: 8.07%,  Human GPi: 5.50%,  Human SN: 5.44%,  Human CA1: 4.47%,  Human MTG: 4.26%,  Human GPe: 3.62%,  Human CA4C-DGC: 3.39%,  Human PnRF: 2.98%,  Human TH-TL: 2.61%,  Human VLN: 2.48%,  Human MoRF-MoEN: 2.30%,  Human Sub: 2.28%,  Human Pul: 2.23%,  Human STG: 2.13%,  Human PAG: 1.96%,  Human A32: 1.63%,  Human SpC: 1.59%,  Human A35r: 1.43%,  Human CBV: 1.34%,  Human DGR-CA4Rpy: 1.32%,  Human ACC: 1.26%,  Human DGU-CA4Upy: 1.26%,  Human MEC: 1.20%,  Human PN: 1.16%,  Human CbDN: 1.06%,  Human Cla: 1.05%,  Human LG: 1.05%,  Human MoAN: 1.05%,  Human A43: 0.99%,  Human ITG: 0.95%,  Human IO: 0.89%,  Human SEP: 0.89%,  Human PB: 0.89%,  Human PnAN: 0.87%,  Human A38: 0.83%,  Human BM: 0.66%,  Human PnEN: 0.66%,  Human CEN: 0.64%,  Human CA1R-CA2R-CA3R: 0.62%,  Human V2: 0.60%,  Human LP-VPL: 0.58%,  Human AON: 0.56%,  Human V1C: 0.56%,  Human CBL: 0.56%,  Human A19: 0.56%,  Human Pro: 0.56%,  Human Ig: 0.56%,  Human MD-Re: 0.54%,  Human Idg: 0.52%,  Human A46: 0.52%,  Human CA1C-CA3C: 0.52%,  Human LP: 0.50%,  Human CMN: 0.50%,  Human LEC: 0.48%,  Human Pir: 0.48%,  Human BL: 0.46%,  Human TF: 0.45%,  Human A1C: 0.45%,  Human CA3R: 0.43%,  Human STH: 0.43%,  Human DTg: 0.41%,  Human SI: 0.41%,  Human Pu: 0.41%,  Human A35-A36: 0.39%,  Human A25: 0.39%,  Human M1C: 0.37%,  Human A23: 0.37%,  Human A40: 0.35%,  Human CaB: 0.35%,  Human A13: 0.33%,  Human SC: 0.33%,  Human IC: 0.31%,  Human S1C: 0.31%,  Human PTR: 0.29%,  Human A5-A7: 0.27%,  Human CA1-2R: 0.27%,  Human NAC: 0.27%,  Human CA1U-CA2U-CA3U: 0.25%,  Human VPL: 0.25%,  Human A44-A45: 0.23%,  Human CM-Pf: 0.23%,  Human MG: 0.23%,  Human FI: 0.23%,  Human ANC: 0.23%,  Human MD: 0.21%,  Human HTHpo-HTHso: 0.19%,  Human A14: 0.19%,  Human VA: 0.19%,  Human MN: 0.19%,  Human CA2U-CA3U: 0.19%,  Human HTHma-HTHtub: 0.19%,  Human CM: 0.17%,  Human PAG-DR: 0.17%,  Human La: 0.15%,  Human A29-A30: 0.15%,  Human BNST: 0.14%,  Human HTHpo: 0.10%,  Human ETH: 0.10%,  Human HTHtub: 0.08%,  Human CoA: 0.08%,  Human HTHso-HTHtub: 0.06%,  Human RN: 0.06%,  Human MoSR: 0.04%,  Human HTHma: 0.02%"
